MOVIE,TICKER,Trailer Date,Like,Dislike,Views,Comments,Polarity,Subjectivity,Polarity_Std,Subjectivity_Std,Previous_month_price_variation,Average Volume,Volatility,Period_price_Variation
Mechanic Resurrection ,LGF,"[datetime.datetime(2016, 6, 23, 17, 22, 34)]",23108,4595,4891323,8456,0.149744203434868,0.36833951243987406,0.36465492236050184,0.3616567886472947,0.10294129161375604,2955740.909090909,1.0347862154934708,0.07146801249445181
The Commuter ,LGF,"[datetime.datetime(2017, 9, 13, 12, 58, 53)]",4123,246,2354504,358,0.02528769841269841,0.29223544973544974,0.30153360392533285,0.3113974978344584,0.099491595474171,388918.1818181818,0.9967046785670757,0.09356333213099388
Robin Hood ,LGF,"[datetime.datetime(2018, 7, 17, 15, 45, 37)]",108819,3467,21373491,12430,0.07978775436112052,0.359341251554498,0.32646254934599445,0.3262585460891276,-0.08086759674860666,575395.2380952381,0.7754706473524717,-0.1539091922972988
Early Man ,LGF,"[datetime.datetime(2017, 9, 7, 8, 0, 1)]",25829,1019,3041611,2078,0.19731151920995674,0.45452496317340063,0.3682189858680104,0.3639941992864005,0.07868737810312937,487827.2727272727,1.0156850001259239,0.1050033155679778
The Hitmans Bodyguard  ,LGF,"[datetime.datetime(2017, 4, 13, 1, 5, 38)]",6910,1002,1958307,1308,0.1387214648592258,0.3371819731942927,0.33144427423579964,0.3671586316003667,-0.01169597213861153,643721.7391304348,0.6843749815532241,0.019523602847538672
Journeys End ,LGF,"[datetime.datetime(2017, 10, 23, 13, 21, 1)]",177160,36537,28472629,11542,0.10537805203861692,0.3191885431320578,0.31207248414742794,0.34586897810968054,-0.05402811056543965,531728.5714285715,1.1470579168342208,0.05762705740770967
The Limehouse Golem ,LGF,"[datetime.datetime(2017, 6, 6, 15, 39, 26)]",26823,3978,10427726,2044,0.12152777777777778,0.1650462962962963,0.23056060018892457,0.23883200132050295,0.09233242133341009,648085.7142857143,1.0924489947123612,0.10481479816932956
Their Finest ,LGF,"[datetime.datetime(2017, 1, 30, 16, 28, 32)]",51444,2870,21059826,6926,0.13739661912619833,0.30041470218450417,0.2761797179510172,0.3494959835526123,0.05701584123001254,768731.5789473684,0.4907616928631997,-0.016336454164026532
John Wick Chapter 2 ,LGF,"[datetime.datetime(2016, 10, 8, 19, 15, 30)]",60335,3334,11816736,3746,0.06501585043158024,0.29862268554586746,0.3267052347167192,0.3457293234519031,0.03271477332701858,2466536.3636363638,0.43344694188452604,0.11184532362136075
Dirty Grandpa ,LGF,"[datetime.datetime(2015, 10, 29, 16, 15, 17)]",4927,308,2916827,1063,0.05347535384811171,0.41920524107183305,0.4126384930414816,0.36574996270398497,0.10773091262846907,839908.695652174,1.20938157179891,-0.026430675121333014
