Date,Open,High,Low,Adj Close,Volume,SMAVG (15)
5/10/2012,48.2671,48.8234,48.096,48.2389,54092,20431
4/10/2012,47.514,48.2329,47.3771,48.1901,27196,18611
3/10/2012,46.8465,47.3257,46.2646,47.3257,24253,17724
2/10/2012,46.547,47.0177,46.3844,46.8465,21878,16940
1/10/2012,46.778,46.915,46.3672,46.5384,6076,17253
28/9/2012,46.6154,46.8722,46.179,46.5555,28199,17659
27/9/2012,46.0164,47.0262,45.8538,46.8722,10669,17146
26/9/2012,47.0348,47.223,45.9565,46.1704,13118,16948
25/9/2012,48.1987,48.1987,47.0262,47.0519,33528,16431
24/9/2012,45.7853,47.9162,45.7853,47.7194,27226,15125
21/9/2012,47.4627,47.4711,46.6925,46.7866,13877,13768
20/9/2012,46.915,47.1289,46.6327,47.1289,13227,13235
19/9/2012,44.5615,46.915,44.5615,46.5898,21008,13358
18/9/2012,45.3317,45.3317,44.7327,44.8439,5323,13517
17/9/2012,44.7583,45.3831,44.493,45.3831,6800,13772
14/9/2012,45.0921,45.7596,45.075,45.2376,26790,14076
13/9/2012,44.5187,45.8794,44.4417,45.5885,13887,13974
12/9/2012,44.6214,45.2718,44.4845,44.5786,12500,14062
11/9/2012,43.9278,44.6854,43.5106,44.6514,26566,14881
10/9/2012,43.5276,43.9878,43.4085,43.8001,12162,15650
7/9/2012,42.9317,43.6468,42.9317,43.6468,20502,16198
6/9/2012,42.872,43.2041,42.6678,43.0764,7702,15839
5/9/2012,42.5146,42.9232,42.2677,42.438,5372,16154
4/9/2012,43.1616,43.1616,42.3103,42.5401,13940,16614
31/8/2012,42.9998,43.2893,42.5742,42.9062,6866,17346
30/8/2012,42.9486,42.9573,42.5657,42.7104,5878,17178
29/8/2012,43.6213,43.6213,42.7274,43.102,15080,17239
28/8/2012,42.8551,43.3999,42.8381,43.3744,23385,16928
27/8/2012,43.1021,43.3489,42.8806,42.9913,9143,16109
24/8/2012,42.7785,43.5276,42.6848,43.3403,11363,16657
23/8/2012,43.3063,43.3063,42.8594,43.0168,25258,17987
22/8/2012,43.6809,43.9959,43.2297,43.4085,15214,19626
21/8/2012,43.5957,43.9618,43.0935,43.4085,24781,19259
20/8/2012,44.0299,44.3332,43.417,43.6724,38097,18038
17/8/2012,43.5191,44.7024,43.5106,44.2342,20393,16333
16/8/2012,43.0594,43.8426,43.0594,43.5106,15114,15489
15/8/2012,43.0935,43.5871,42.9573,43.3148,12419,15117
14/8/2012,42.9573,43.3318,42.7274,42.9487,12283,14636
13/8/2012,43.4766,43.4936,42.6125,43.0083,24922,14389
10/8/2012,43.7405,43.8426,43.5276,43.6552,4346,13196
9/8/2012,43.6298,44.2426,43.6298,44.0299,6780,13832
8/8/2012,43.0168,43.7405,42.9402,43.5702,10421,13751
7/8/2012,42.7785,43.5106,42.7785,43.1786,11097,13834
6/8/2012,41.7484,42.8381,41.7484,42.6933,17360,13622
3/8/2012,40.0287,41.9868,40.0287,41.8165,31319,13198
2/8/2012,40.6757,41.0248,40.2331,40.6672,49843,11879
1/8/2012,42.14,42.14,40.846,40.9482,9713,9459
31/7/2012,41.4419,41.9016,41.0673,41.5696,6459,10386
30/7/2012,41.8676,42.14,41.3994,41.3994,12524,11682
27/7/2012,41.6377,42.2336,41.281,42.157,7732,11492
26/7/2012,41.0759,41.6292,40.9141,41.4334,9530,12346
25/7/2012,40.7779,40.863,40.4799,40.846,5211,12347
24/7/2012,40.9396,41.2291,40.4459,40.6332,8576,12567
23/7/2012,41.161,41.5866,40.5991,40.8971,7027,12785
20/7/2012,41.5952,42.5826,41.51,41.6292,13890,14221
19/7/2012,41.9953,42.5316,41.5527,41.7143,5562,14057
18/7/2012,41.5015,42.5895,41.5015,42.3954,11660,14494
17/7/2012,41.5952,42.2166,41.5952,41.7782,7924,14265
16/7/2012,41.7058,42.123,41.5015,41.5781,11007,14546
13/7/2012,41.1184,42.2336,41.1184,41.8761,11527,15320
