Date,Open,High,Low,Close,Volume,SMAVG (15)
6/2/2019,16.81,17.18,16.645,16.67,1100206,883343
5/2/2019,17.19,17.57,16.94,16.95,1742676,846951
4/2/2019,18.05,18.05,17.14,17.18,1649666,764343
1/2/2019,18.31,18.48,17.87,17.91,1115492,697863
31/1/2019,18.1,18.58,18.09,18.37,683087,663967
30/1/2019,18.33,18.33,17.92,18.03,798551,674009
29/1/2019,18.35,18.47,18.1,18.1,629017,681702
28/1/2019,18,18.55,17.91,18.3,587582,731719
25/1/2019,18.46,18.56,17.945,18.01,826566,757934
24/1/2019,18.13,18.73,18.1,18.35,499032,754849
23/1/2019,18.3,18.61,17.93,18.14,571528,771329
22/1/2019,18.25,18.25,17.91,18.09,558733,817905
18/1/2019,18.18,18.42,17.9762,18.29,829437,937458
17/1/2019,18.1,18.47,17.91,18.02,1105142,980856
16/1/2019,18.07,18.44,17.97,18.08,553436,1000766
15/1/2019,18.24,18.24,17.93,18.1,554316,1014239
14/1/2019,18.51,18.79,18.09,18.18,503563,1095730
11/1/2019,18.17,19,17.93,18.88,652456,1254409
10/1/2019,17.98,18.245,17.89,18.06,607052,1441158
9/1/2019,17.94,18.1975,17.785,18.03,833727,1515585
8/1/2019,18,18.04,17.7,17.87,913946,1525646
7/1/2019,17.38,18.06,17.04,17.79,1379272,1536552
4/1/2019,16.72,17.55,16.56,17.4,980797,1579772
3/1/2019,16.53,16.97,16.21,16.36,780296,1642843
2/1/2019,16.01,16.62,15.49,16.62,746234,1708650
31/12/2018,16.2,16.37,15.12,16.1,1270168,1740262
28/12/2018,15.56,16.45,15.56,16.14,2352031,1701443
27/12/2018,15.26,15.6,15,15.45,1480406,1628895
26/12/2018,14.43,15.59,14.43,15.54,1403795,1578513
24/12/2018,13.93,14.76,13.93,14.39,755523,1558722
21/12/2018,14.27,14.58,13.82,14,1776690,1563312
20/12/2018,14.5,14.605,13.63,14.19,2883735,1496074
19/12/2018,14.99,15.24,14.42,14.47,3453698,1343656
18/12/2018,15.54,15.7,15.04,15.08,1723457,1154322
17/12/2018,15.57,15.72,14.99,15.05,984648,1076157
14/12/2018,15.57,16.21,15.43,15.61,1077531,1032878
13/12/2018,16.65,16.65,15.64,15.76,2027569,995232
12/12/2018,16.75,17.11,16.44,16.65,1926860,927197
11/12/2018,17.55,17.63,16.4949,16.62,1767404,872431
10/12/2018,17.39,17.66,16.695,17.4,1220420,806309
7/12/2018,17.49,18.17,17.19,17.6,687879,790364
6/12/2018,17.03,17.655,16.91,17.3,1263805,797188
4/12/2018,18.21,18.4295,17.41,17.47,724677,790350
3/12/2018,19.86,19.98,17.92,18.25,1106926,869714
30/11/2018,19.89,20.15,19.37,19.41,824381,889415
29/11/2018,19.44,20.14,19.33,20.1,768120,892062
28/11/2018,18.97,19.62,18.81,19.6,597459,886211
27/11/2018,19,19.3868,18.67,18.79,613692,886538
26/11/2018,19.21,19.37,18.71,19.03,550983,910557
23/11/2018,19.14,19.25,18.71,18.92,335462,924998
21/11/2018,18.49,19.27,18.4,19.21,512837,959889
20/11/2018,19,19.31,18.26,18.31,1007043,981184
19/11/2018,20.8,20.87,19.335,19.4,1105374,968054
16/11/2018,20.8,20.96,20.41,20.86,775575,937848
15/11/2018,19.94,20.66,19.54,20.49,981254,952275
14/11/2018,20.88,20.88,19.82,19.91,790235,970398
13/11/2018,19.69,20.64,19.55,20.25,1161227,1032297
12/11/2018,20.36,20.36,19.38,19.77,1915141,1075562
9/11/2018,20.1,21.22,19.92,20.14,1402445,988556
8/11/2018,19.8,19.86,19.09,19.18,864080,947243
7/11/2018,19.79,19.9,19.1,19.62,680353,958174
6/11/2018,19.56,19.76,19.35,19.6,602366,964598
5/11/2018,19.1,19.685,19.03,19.56,973976,976761
2/11/2018,19.41,19.56,18.5105,19.1,767601,950211
1/11/2018,19.31,19.38,18.77,19.28,858822,981127
31/10/2018,18.67,19.46,18.59,19.16,832273,1036729
30/10/2018,18.38,18.79,18.04,18.42,810081,1067788
29/10/2018,19.58,19.58,18.08,18.36,652291,1057527
26/10/2018,19.68,19.91,18.99,19.06,991975,1062696
25/10/2018,19.27,20.17,19.27,20.05,1253111,1068040
24/10/2018,21.11,21.19,18.98,19.2,1718712,1034861
23/10/2018,21.35,21.5,20.83,21.01,1810195,997670
22/10/2018,22.31,22.32,21.59,21.83,610066,942183
19/10/2018,22.24,22.7187,21.93,22.21,782745,987452
18/10/2018,23.21,23.21,22.1,22.22,1028047,1089535
17/10/2018,23.41,23.5878,22.964,23.21,776707,1083746
16/10/2018,23.1,23.6938,22.75,23.59,784820,1075806
15/10/2018,22.31,23.29,22.31,22.95,575714,1056509
12/10/2018,22.09,22.97,21.96,22.5,1231348,1065322
11/10/2018,22.95,23.26,21.28,21.69,1692846,1057137
10/10/2018,24.85,24.9795,23.04,23.04,1298154,983946
9/10/2018,23.33,23.93,23.17,23.64,656174,919591
8/10/2018,23.05,23.315,22.88,23.22,729831,900479
5/10/2018,24.37,24.68,23.16,23.23,1072123,886541
4/10/2018,24.86,24.86,24.13,24.55,755437,852256
3/10/2018,25,25.245,24.62,24.92,1160846,834365
2/10/2018,23.8,24.94,23.6372,24.78,977880,793569
1/10/2018,24.5,25.2,23.64,23.87,1289115,754349
28/9/2018,23.17,25.07,22.76,24.39,2313976,694508
27/9/2018,21.96,22.97,21.93,22.66,941214,563756
26/9/2018,21.8398,22.039,21.6406,21.79,657612,523675
25/9/2018,21.7203,21.8896,21.5709,21.7203,495363,509668
24/9/2018,22.1585,22.1983,21.4813,21.6406,707917,519779
21/9/2018,22.3377,22.4772,22.0589,22.2879,1108572,501448
20/9/2018,22.5469,22.6763,22.2481,22.3577,594976,458391
19/9/2018,22.6166,22.8158,22.3278,22.3875,332835,448810
18/9/2018,22.4572,22.7759,22.3676,22.6066,369484,469620
17/9/2018,23.0149,23.0149,22.4174,22.4473,520772,477163
14/9/2018,23.6921,23.716,23.005,23.0249,557841,463150
13/9/2018,23.5228,24.2498,23.4447,23.6224,487069,441689
12/9/2018,22.3477,23.4332,22.3477,23.3735,548911,429333
11/9/2018,22.2182,22.8158,22.2083,22.3377,389575,426340
10/9/2018,22.6465,22.6863,22.1087,22.3278,391499,437697
7/9/2018,22.5568,22.8556,22.1485,22.5967,352696,453807
6/9/2018,22.9452,22.9751,22.527,22.6066,339996,466603
5/9/2018,23.0747,23.244,22.8556,22.9452,447521,496115
4/9/2018,23.2042,23.3137,22.7162,23.1544,647028,522673
31/8/2018,22.9054,23.4661,22.9054,23.4233,432947,536728
30/8/2018,23.6623,23.7419,23.0349,23.0548,462708,606659
29/8/2018,24.1801,24.2299,23.5129,23.7519,451262,612724
28/8/2018,23.3834,23.9013,23.2639,23.8316,644995,616697
27/8/2018,23.2639,23.6424,23.1046,23.3436,482632,593902
24/8/2018,22.8456,23.2777,22.8257,23.1643,310577,586260
23/8/2018,23.3336,23.3336,22.7859,22.7958,235924,605237
22/8/2018,23.0448,23.3537,23.0249,23.2838,301722,621521
21/8/2018,22.9253,23.1046,22.8357,23.0349,504022,635716
20/8/2018,22.7958,23.1544,22.7162,22.756,559920,631445
17/8/2018,23.005,23.1544,22.756,22.8656,633157,623667
16/8/2018,23.493,23.7718,22.8755,22.9851,544629,615795
15/8/2018,24.459,24.459,23.0747,23.3037,782687,603806
14/8/2018,23.4033,24.5884,23.3934,24.5486,845891,583146
13/8/2018,24.0706,24.1951,23.0548,23.3934,857847,565020
10/8/2018,23.4033,24.7777,22.5668,24.1104,1481909,542932
9/8/2018,22.6564,23.234,22.6564,23.0448,553690,492073
8/8/2018,23.0747,23.3087,22.6863,22.7361,510860,585696
7/8/2018,23.1245,23.5129,22.995,23.0946,303064,607049
6/8/2018,22.9452,23.4337,22.8158,23.0548,367998,663149
3/8/2018,23.2639,23.3137,22.5867,22.9054,595229,663171
2/8/2018,23.5029,23.5527,22.995,23.1145,480187,646100
1/8/2018,23.5428,23.8614,23.356,23.5527,514646,648897
31/7/2018,23.1544,23.7917,23.0349,23.7519,439960,644051
30/7/2018,23.1145,23.5013,22.9353,23.1444,443245,634246
27/7/2018,23.8814,23.8814,22.9303,23.1743,515088,646218
26/7/2018,23.722,24.0307,23.5428,23.8415,364796,643833
