Video ID,Title,Comment,publishedAt
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"You know what i'm gonna do? You know what i'm gonna do???? I'm not gonna buy the game. I mean, why even buy a game you hate? and if you say: ""Its for the remastered edition"" Well the original MW1 is like, 10 bucks nowadays, and with the overrated ""Backwards Compatibility"" You can play it on the Xbox One without wasting your money on a game you hate so much. 

So i'm not gonna give my money away to some Idiotic Neanderthals that think they can take my money, And even if they lower the price, i'm still not buying it. And no matter what they do, they can honestly go screw themselves over if they think somebody like me is going to buy this game. 

 Hell, even if you buy it for the remastered edition, you're giving away your money, like a spoiled 12 year old, who's parents don't discipline him. So the only smart thing to do, is simply NOT buy the game! Its obvious they did not even try to make a game. And judging by the price? They want our money. 


So... summary is: Don't give your money to these Neanderthalic Money hoarders. Just wait until eventually, the game (Remastered edition not infinite warfare.) will be separated. Just be patient until it comes. Just don't give your money to these people.",2016-07-28T17:46:18.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,COD 7 god,2016-07-27T21:46:49.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Stop doing all that futuristic crap! Make Call of Duty great again!,2016-07-27T21:12:30.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,nice,2016-07-26T01:17:22.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,was anybody audio was not working or no,2016-07-25T19:26:14.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,🐢🐢🐢,2016-07-25T19:22:47.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,i love this new starwars game lol,2016-07-25T11:19:34.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,meh  BF1 bring it,2016-07-25T11:18:55.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,There should be more humor. and showed in a way that the other Ai's acknowledge it and they get the look of I can do this from the look a fear.,2016-07-25T09:03:39.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"so many dislikes
calm down nerds",2016-07-24T20:38:26.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,WOW so Many dislikes,2016-07-23T21:41:22.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,he said boots on the ground hope so,2016-07-23T19:30:20.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Is there or will there come a beta multyplayer for infinite warfare?,2016-07-23T15:28:28.000Z
