Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,14,3,2,0.025104718950433355,0.5338888888888889
Knn Classifier,0.1,3,15,3,2,0.08483268738610697,0.600042735042735
Knn Classifier,0.1,3,16,3,2,0.04154602301828819,0.5872649572649573
Knn Classifier,0.1,3,17,3,2,0.09541656558299676,0.5872222222222222
Knn Classifier,0.1,3,18,3,2,0.1395429569433486,0.5749145299145298
Knn Classifier,0.1,3,19,3,2,0.15736392510248765,0.5882478632478633
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,4,3,0.10878565864408424,0.5384615384615384
Knn Classifier,0.1,3,2,4,3,0.1009488188975873,0.44871794871794873
Knn Classifier,0.1,3,3,4,3,0.03626188621469475,0.44871794871794873
Knn Classifier,0.1,3,4,4,3,0.06537204504606135,0.4358974358974359
Knn Classifier,0.1,3,5,4,3,0.09065471553673687,0.4871794871794872
Knn Classifier,0.1,3,6,4,3,0.08308641921035718,0.38461538461538464
Knn Classifier,0.1,3,7,4,3,0.12561485860426555,0.5
Knn Classifier,0.1,3,8,4,3,0.06537204504606133,0.4743589743589744
Knn Classifier,0.1,3,9,4,3,0.04796996649710178,0.5256410256410255
Knn Classifier,0.1,3,10,4,3,0.09065471553673685,0.4102564102564103
Knn Classifier,0.1,3,11,4,3,0.04796996649710181,0.48717948717948717
Knn Classifier,0.1,3,12,4,3,0.07903094875601252,0.43589743589743585
Knn Classifier,0.1,3,13,4,3,0.14160719252804183,0.4358974358974359
Knn Classifier,0.1,3,14,4,3,0.07903094875601252,0.3974358974358974
Knn Classifier,0.1,3,15,4,3,0.07903094875601252,0.43589743589743585
Knn Classifier,0.1,3,16,4,3,0.12691660175143163,0.44871794871794873
Knn Classifier,0.1,3,17,4,3,0.15701857325533194,0.4615384615384615
Knn Classifier,0.1,3,18,4,3,0.1269166017514316,0.5128205128205128
Knn Classifier,0.1,3,19,4,3,0.12561485860426555,0.4615384615384615
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,5,4,0.11905142851047815,0.5190476190476191
Knn Classifier,0.1,3,2,5,4,0.05308189027182371,0.46428571428571425
Knn Classifier,0.1,3,3,5,4,0.061956022732535636,0.5161904761904762
Knn Classifier,0.1,3,4,5,4,0.07519890480217588,0.5680952380952381
Knn Classifier,0.1,3,5,5,4,0.09143105155366321,0.5547619047619048
Knn Classifier,0.1,3,6,5,4,0.043099841900894345,0.4895238095238095
Knn Classifier,0.1,3,7,5,4,0.037422633722644774,0.4761904761904762
Knn Classifier,0.1,3,8,5,4,0.07475128829686357,0.4271428571428571
Knn Classifier,0.1,3,9,5,4,0.0834298760498125,0.46571428571428575
Knn Classifier,0.1,3,10,5,4,0.07126011882636316,0.490952380952381
Knn Classifier,0.1,3,11,5,4,0.043099841900894345,0.4895238095238095
Knn Classifier,0.1,3,12,5,4,0.043099841900894345,0.4895238095238095
Knn Classifier,0.1,3,13,5,4,0.13305412943815093,0.5057142857142858
Knn Classifier,0.1,3,14,5,4,0.061956022732535636,0.5161904761904762
Knn Classifier,0.1,3,15,5,4,0.04109609335312651,0.5533333333333333
Knn Classifier,0.1,3,16,5,4,0.04512014698999877,0.5280952380952382
Knn Classifier,0.1,3,17,5,4,0.034608271067822126,0.5519047619047619
Knn Classifier,0.1,3,18,5,4,0.08993825042154698,0.5533333333333333
Knn Classifier,0.1,3,19,5,4,0.12169625024733932,0.5561904761904762
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,6,5,0.07985490206038194,0.5409686609686609
Knn Classifier,0.1,3,2,6,5,0.04531796352382798,0.448698955365622
Knn Classifier,0.1,3,3,6,5,0.055709700845317664,0.4619563152896486
Knn Classifier,0.1,3,4,6,5,0.03234982204142901,0.5246723646723647
Knn Classifier,0.1,3,5,6,5,0.0601457363254984,0.5241595441595441
Knn Classifier,0.1,3,6,6,5,0.07526582170748061,0.5237226970560304
Knn Classifier,0.1,3,7,6,5,0.02373752670042112,0.4866856600189933
Knn Classifier,0.1,3,8,6,5,0.0569558416414504,0.5379677113010447
Knn Classifier,0.1,3,9,6,5,0.08368075726116768,0.5488888888888889
Knn Classifier,0.1,3,10,6,5,0.039781448359661804,0.5375308641975308
Knn Classifier,0.1,3,11,6,5,0.07864497930189127,0.49753086419753084
Knn Classifier,0.1,3,12,6,5,0.056981962614541186,0.5498765432098766
Knn Classifier,0.1,3,13,6,5,0.048671005486544766,0.5883380816714151
Knn Classifier,0.1,3,14,6,5,0.06037407436379678,0.5878632478632478
Knn Classifier,0.1,3,15,6,5,0.0916771204082049,0.5745679012345679
Knn Classifier,0.1,3,16,6,5,0.07678296596955551,0.6002089268755936
Knn Classifier,0.1,3,17,6,5,0.07334820527799399,0.600721747388414
Knn Classifier,0.1,3,18,6,5,0.12023039863981907,0.5740930674264008
Knn Classifier,0.1,3,19,6,5,0.15052103138746384,0.5351187084520418
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,7,6,0.06554152584413431,0.5638095238095238
Knn Classifier,0.1,3,2,7,6,0.11526564015548393,0.4495238095238095
Knn Classifier,0.1,3,3,7,6,0.023454495916237626,0.5119047619047619
Knn Classifier,0.1,3,4,7,6,0.01645443099349618,0.46142857142857147
Knn Classifier,0.1,3,5,7,6,0.053252489748359125,0.5652380952380952
Knn Classifier,0.1,3,6,7,6,0.033993463423951924,0.5133333333333333
Knn Classifier,0.1,3,7,7,6,0.016822401650148255,0.5771428571428571
Knn Classifier,0.1,3,8,7,6,0.06554152584413431,0.5638095238095238
Knn Classifier,0.1,3,9,7,6,0.04936329298048857,0.6157142857142858
Knn Classifier,0.1,3,10,7,6,0.04936329298048857,0.6157142857142858
Knn Classifier,0.1,3,11,7,6,0.028123472495682686,0.6038095238095238
Knn Classifier,0.1,3,12,7,6,0.017418420150639907,0.6157142857142857
Knn Classifier,0.1,3,13,7,6,0.03268762343186768,0.640952380952381
Knn Classifier,0.1,3,14,7,6,0.02020305089104425,0.6142857142857143
Knn Classifier,0.1,3,15,7,6,0.03561573705012407,0.5623809523809524
Knn Classifier,0.1,3,16,7,6,0.05116333721357446,0.5742857142857143
Knn Classifier,0.1,3,17,7,6,0.06825655218438571,0.5223809523809524
Knn Classifier,0.1,3,18,7,6,0.049156144383100724,0.5771428571428571
Knn Classifier,0.1,3,19,7,6,0.022049213148171848,0.5504761904761905
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,8,7,0.11795705209631988,0.5129154795821462
Knn Classifier,0.1,3,2,8,7,0.07279527314736231,0.46301994301994304
Knn Classifier,0.1,3,3,8,7,0.04157896875549895,0.4625071225071225
Knn Classifier,0.1,3,4,8,7,0.03978144835966183,0.4624691358024691
Knn Classifier,0.1,3,5,8,7,0.023737526700421143,0.5133143399810066
Knn Classifier,0.1,3,6,8,7,0.05570970084531766,0.5380436847103515
Knn Classifier,0.1,3,7,8,7,0.0887942776170954,0.5010446343779678
Knn Classifier,0.1,3,8,8,7,0.05682092371946919,0.5266856600189933
Knn Classifier,0.1,3,9,8,7,0.009099025072932481,0.5128395061728396
Knn Classifier,0.1,3,10,8,7,0.02721667198969278,0.576980056980057
Knn Classifier,0.1,3,11,8,7,0.03968096331894111,0.5646343779677113
Knn Classifier,0.1,3,12,8,7,0.009205762617667548,0.5641595441595442
Knn Classifier,0.1,3,13,8,7,0.02347813447691798,0.5508262108262109
