,Classifier,Alpha Value,Cross_Val folds,Layer Structure,Prediction Period,Parsing Day range,Score Std,Score average
198,MLPClassifier,0.1,3,"(20, 100, 90)",5,3,0.11775103448568502,0.5442857142857144
199,MLPClassifier,0.1,3,"(20, 100, 100)",5,3,0.10296511088206975,0.530952380952381
200,MLPClassifier,0.1,3,"(30, 10, 10)",5,3,0.07519890480217588,0.5680952380952381
201,MLPClassifier,0.1,3,"(30, 10, 20)",5,3,0.09819458676906942,0.5414285714285715
202,MLPClassifier,0.1,3,"(30, 10, 30)",5,3,0.10090969447931798,0.5176190476190476
203,MLPClassifier,0.1,3,"(30, 10, 40)",5,3,0.12020579481279582,0.5176190476190476
204,MLPClassifier,0.1,3,"(30, 10, 50)",5,3,0.0917059285120817,0.5561904761904762
205,MLPClassifier,0.1,3,"(30, 10, 60)",5,3,0.10390995578655893,0.5428571428571428
206,MLPClassifier,0.1,3,"(30, 10, 70)",5,3,0.0917059285120817,0.5561904761904762
207,MLPClassifier,0.1,3,"(30, 10, 80)",5,3,0.11591693014343311,0.5057142857142858
208,MLPClassifier,0.1,3,"(30, 10, 90)",5,3,0.09819458676906942,0.5414285714285715
209,MLPClassifier,0.1,3,"(30, 10, 100)",5,3,0.10488304684141873,0.5695238095238095
210,MLPClassifier,0.1,3,"(30, 20, 10)",5,3,0.08716237096112421,0.5428571428571428
211,MLPClassifier,0.1,3,"(30, 20, 20)",5,3,0.1071354494793735,0.490952380952381
212,MLPClassifier,0.1,3,"(30, 20, 30)",5,3,0.09002896989025885,0.5161904761904762
213,MLPClassifier,0.1,3,"(30, 20, 40)",5,3,0.13305412943815093,0.5057142857142858
214,MLPClassifier,0.1,3,"(30, 20, 50)",5,3,0.13370865542345192,0.490952380952381
215,MLPClassifier,0.1,3,"(30, 20, 60)",5,3,0.08971863299547071,0.5176190476190476
216,MLPClassifier,0.1,3,"(30, 20, 70)",5,3,0.10296511088206975,0.530952380952381
217,MLPClassifier,0.1,3,"(30, 20, 80)",5,3,0.0849195964926867,0.490952380952381
218,MLPClassifier,0.1,3,"(30, 20, 90)",5,3,0.11748112213865224,0.530952380952381
219,MLPClassifier,0.1,3,"(30, 20, 100)",5,3,0.07183061456098379,0.5547619047619048
220,MLPClassifier,0.1,3,"(30, 30, 10)",5,3,0.10090969447931798,0.5176190476190476
221,MLPClassifier,0.1,3,"(30, 30, 20)",5,3,0.15256090564745867,0.5042857142857143
222,MLPClassifier,0.1,3,"(30, 30, 30)",5,3,0.10234661661223976,0.5042857142857143
223,MLPClassifier,0.1,3,"(30, 30, 40)",5,3,0.10845440644180392,0.5295238095238095
224,MLPClassifier,0.1,3,"(30, 30, 50)",5,3,0.07519890480217588,0.5680952380952381
225,MLPClassifier,0.1,3,"(30, 30, 60)",5,3,0.07003724308895327,0.5161904761904762
226,MLPClassifier,0.1,3,"(30, 30, 70)",5,3,0.10390995578655893,0.5428571428571428
