publish_time,video_ID,Title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,ProductionFirm,Movie,Ticker
2013-05-28T17:23:48.000Z,YRjztG65XgI,Planes Official Trailer #1 (2013) - Dane Cook Disney Animated Movie HD,897045,1858,520,0,538,Disney,Planes,
2014-02-05T18:33:01.000Z,uYXxqwk7EMY,Planes: Fire &amp; Rescue Official Trailer #2 (2014) - Disney Sequel HD,136976,745,310,0,206,Disney,Planes: Fire & Rescue,
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,5351098,9639,507,0,1406,Disney,PRINCE OF PERSIA: THE SANDS OF TIME ,
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,2526592,9376,386,0,1344,Paramount,Project Almanac,
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,3065100,17063,606,0,1765,Disney,Queen of Katwe ,
2018-06-04T16:00:03.000Z,_BcYBFC6zfY,Ralph Breaks the Internet: Wreck-It Ralph 2 Official Trailer,18981005,238641,14952,0,38740,Disney,Ralph Breaks the Internet: Wreck-It Ralph 2,
2017-11-16T21:15:08.000Z,coOKvrsmQiI,RAMPAGE - OFFICIAL TRAILER 1 [HD],45029010,257135,18907,0,29107,Warner Bros,RAMPAGE,
2017-12-10T18:00:17.000Z,cSp1dM2Vj48,READY PLAYER ONE - Official Trailer 1 [HD],30767539,269710,14571,0,45036,Warner Bros,READY PLAYER ONE,
2018-01-08T14:00:11.000Z,PmUL6wMpMWw,Red Sparrow | Official Trailer [HD] | 20th Century FOX,30132737,58260,5566,0,5924,20th Century FOX,Red Sparrow ,
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,3846746,8356,1339,0,594,Paramount,Rings,
2016-04-07T11:49:27.000Z,Wji-BZ0oCwg,ROGUE ONE: A STAR WARS STORY Official Teaser Trailer,45257837,406085,21496,0,88157,Disney,ROGUE ONE: A STAR WARS STORY ,
2016-08-17T15:09:14.000Z,PltWQ8kQe04,Same Kind of Different as Me Official Trailer 1 (2017) - Greg Kinnear Movie,720858,3704,763,0,632,Paramount,Same Kind of Different as Me ,
2015-08-25T13:17:01.000Z,ZOhSbNJ7MqI,Scouts Guide to the Zombie Apocalypse Official Trailer #1 (2015) - Tye Sheridan Movie HD,3893143,20734,1042,0,957,Paramount,Scouts Guide to the Zombie Apocalypse,
2014-11-07T13:47:21.000Z,x6t7vVTxaic,"Selma Official Trailer #1 (2015) - Oprah Winfrey, Cuba Gooding Jr. Movie HD",5229212,23826,750,0,3410,Paramount,Selma,
2017-11-07T16:01:09.000Z,UtbiOl506ms,"Sherlock Gnomes Official Trailer #1 (2018) Johnny Depp, Emily Blunt Animated Movie HD",2011771,12886,2129,0,1899,Paramount,Sherlock Gnomes,
2016-11-23T04:12:07.000Z,IqrgxZLd_gE,Silence Official Trailer (2016) - Paramount Pictures,6952307,27245,2499,0,4003,Paramount,Silence (2016),
2018-08-02T16:00:21.000Z,uBw6EvIxIS8,SMALLFOOT - Official Final Trailer [HD],6991264,18808,1503,0,1423,Warner Bros,SMALLFOOT ,
2016-12-16T14:00:11.000Z,PsBWnst8f7w,Snatched | Red Band Trailer [HD] | 20th Century FOX,3365336,9377,21891,0,3694,20th Century FOX,Snatched ,
2018-04-09T00:45:48.000Z,jPEYpryMp2s,Solo: A Star Wars Story Official Trailer,18784904,215407,26946,0,31859,Disney,Solo: A Star Wars Story,
2015-03-31T12:59:57.000Z,ltijEmlyqlg,Spy | Official Trailer 2 [HD] | 20th Century FOX,8245821,21885,1066,0,1058,20th Century FOX,Spy ,
2015-12-14T16:03:45.000Z,XRVD32rnzOw,Star Trek Beyond - Trailer (2016) - Paramount Pictures,18853055,67708,26922,0,19398,Paramount,Star Trek Beyond,
2016-05-21T04:10:53.000Z,dCyv5xKIqlw,"Star Trek Beyond Official Trailer #2 (2016) - Chris Pine, Zachary Quinto Movie HD",4355853,23837,1176,0,3496,Paramount,Star Trek Beyond ,
2017-04-14T15:56:13.000Z,zB4I68XVPzQ,Star Wars: The Last Jedi Official Teaser,45085861,593372,30984,0,50522,Disney,Star Wars: The Last Jedi ,
2017-07-27T13:27:10.000Z,cBezc1S1BAQ,"Suburbicon Official Trailer #1 (2017) Matt Damon, Oscar Isaac Crime Comedy HD",4723063,19121,1444,0,1740,Paramount,Suburbicon,
2015-07-13T20:00:04.000Z,PLLQK9la6Go,Suicide Squad - Comic-Con First Look [HD],70255009,454473,20054,0,54631,Warner Bros,Suicide Squad,
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],16005112,60000,2230,0,8448,Malpaso Productions,Sully,
2018-03-20T13:00:40.000Z,kjC1zmZo30U,TAG - Official Trailer 1,11971067,62561,2611,0,5049,Warner Bros,TAG,
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,16380545,56515,1843,0,6164,20th Century FOX,TAKEN 3 ,
2016-10-03T01:06:21.000Z,1xo3af_6_Jk,Teaser Trailer: Pirates of the Caribbean: Dead Men Tell No Tales,20862170,161900,5130,0,15051,Disney,Pirates of the Caribbean: Dead Men Tell No Tales,
2018-05-01T16:00:26.000Z,r9WhJyyTtqo,Teen Titans GO! To The Movies - Official Trailer 1 [HD],10988773,44185,11765,0,12453,Warner Bros,Teen Titans GO! To The Movies,
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",4509969,12247,1068,0,2536,Paramount,Teenage Mutant Ninja Turtles,
